ПРОДУКЦИЯ С ПОЛЯ	Оз пшеница	Шпаловка	921700		
ПРОДУКЦИЯ С ПОЛЯ	Оз пшеница	Мулан	838680		
ПОСЕВМАТ	Пшеница	Мулан 1 репр	17890		
ДООЧИСТКА	Пшеница (некондиция)		18340		
ПРОДУКЦИЯ С ПОЛЯ	Оз пшеница	Шестопаловка	2336060		
			4132670		
					Остатки
ДООЧИСТКА	Пшеница (некондиция)		300		0
ДООЧИСТКА	Пшеница	Шпаловка суржик с ячменем	9360		0
ДООЧИСТКА	Пшеница	Шестопаловка суржик с ячменем	190940		190940
ОТХОДЫ	Пшеница отходы		20280		0
ОТХОДЫ	Пшеничные мертвые отходы 		12220		12220
ПОСЕВМАТ	Пшеница	Мулан 1 репр	17890		17890
ПОСЕВМАТ	Пшеница	Шестопаловка 2 репр	86400		86400
ТОВАРНАЯ	Пшеница		3795280		2001820
			4132670		
					
ДООЧИСТКА	Пшеница (некондиция)		Утилизация	300	
ДООЧИСТКА	Пшеница	Шпаловка суржик с ячменем	Продажа за наличку	9360	
ОТХОДЫ	Пшеница отходы		В счет зарплаты	5100	
ОТХОДЫ	Пшеница отходы		Продажа отходов	520	
ОТХОДЫ	Пшеница отходы		Продажа за наличку	14660	
ТОВАРНАЯ	Пшеница		Продажа по безналу	1369400	
ТОВАРНАЯ	Пшеница		Продажа за наличку	260180	
ТОВАРНАЯ	Пшеница		Пай	163880	
					
					
ДООЧИСТКА	Пшеница	Шестопаловка суржик с ячменем	190 940		
ОТХОДЫ	Пшеничные мертвые отходы 		12 220		
ПОСЕВМАТ	Пшеница	Мулан 1 репр	17 890		
ПОСЕВМАТ	Пшеница	Шестопаловка 2 репр	86 400		
ТОВАРНАЯ	Пшеница		2 001 820		
